Funder,Billing State/Province,Investor Type,Life Science,Tech,AM&M,Cleantech
5AM Ventures,MA,Venture Fund,1,,,
Amgen Ventures,CA,Venture Fund,1,,,
Auriga Partners,FRA,Venture Fund,1,,,
Azure Capital Partners,CA,Venture Fund,,1,,
Barbara Corcoran Venture Partners,FL,Venture Fund,,1,,
Baxter Ventures,IL,Corporate Fund,1,,,
Bay Grove Capital,CA,Venture Fund,,,,1
"Boxer Capital, Llc",CA,Venture Fund,1,,,
Brooklyn Bridge Ventures,NY,Venture Fund,,1,,
Bull City Venture Partners,NC,Venture Fund,,1,,
Camden Partners,MD,Growth,1,,,
Canaan Partners,CA,Venture Fund,1,,,
Care Capital,NJ,Venture Fund,1,,,
Charlotte Angel Partners,NC,Angel Group,,,1,
China Growth Capital,CHN,Venture Fund,,1,,
Contour Venture Partners,NY,Venture Fund,,1,,
Core Capital Partners,DC,Venture Fund,,1,,
"Domain Associates, LLC",NJ,Venture Fund,1,,,
Eshelman Ventures LLC,NC,Venture Fund,1,,,
Excelerate Health Ventures,NC,Venture Fund,,1,,
F2 Ventures,GBR,Venture Fund,,1,,
FCA Venture Partners,TN,Venture Fund,,1,,
Fidelity BioSciences,MA,Venture Fund,1,,,
"Fletcher Spaght Ventures, L.P.",MA,Venture Fund,1,,,
Foundation Capital,CA,Venture Fund,,,1,
Gemini Israel Ventures,ISR,Venture Fund,,1,,
Greycroft Partners,NY,Venture Fund,,1,,
Grotech Ventures,VA,Venture Fund,,1,,
"Harbert Venture Partners, LLC",VA,Venture Fund,1,,,
"Harris & Harris Group, Inc.",NY,Venture Fund,1,,,
Hatteras Venture Partners,NC,Venture Fund,1,,,
Houston Health Ventures,TX,Venture Fund,,1,,
IDEA Fund Partners,NC,Venture Fund,,1,,
IMAF SANDHILLS,NC,Angel Group,1,,,
Insight Venture Partners,NY,Venture Fund,,1,,
Intersouth Partners,NC,Venture Fund,,1,1,
Kaiser Permanente Ventures,CA,Corporate Fund,,1,,
Lilly Ventures,IN,Venture Fund,1,,,
Lookout Capital,NC,Venture Fund,1,,,
Lumira Capital,MA,Venture Fund,1,,,
Malin Corporation,NC,Venture Fund,1,,,
Mario Family Partners,NC,Venture Fund,1,,,
Marker LLC,NY,Venture Fund,,1,,
"MedImmune Ventures, Inc.",MD,Venture Fund,1,,,
Morgan Stanley Expansion Capital,NY,Venture Fund,1,,,
Mountain Group Capital,TN,Venture Fund,1,,,
MPM Capital,MA,Venture Fund,1,1,,
New Enterprise Associates (NEA),CA,Venture Fund,1,,,
Newgen SV Venture Partners,CA,Venture Fund,,1,,
Novartis Venture Fund,MA,Venture Fund,1,,,
"Novo Ventures US, Inc.",CA,Venture Fund,1,,,
Osage University Partners,PA,Venture Fund,1,,,
Pappas Ventures,NC,Venture Fund,1,,,
Pilot Mountain Ventures,NY,Venture Fund,,1,,
Providence Health Ventures,WA,Corporate Fund,,1,,
RA Capital,MA,Venture Fund,1,,,
"Route 66 Ventures, LLC",VA,Venture Fund,,1,,
RTP Capital,NC,Angel Group,,1,1,
Salesforce Ventures,CA,Venture Fund,,1,,
Sevin Rosen Funds,TX,Venture Fund,1,,,
SJF Ventures,NC,Venture Fund,,1,,
Social Starts,CA,Venture Fund,,1,,
Sovereign's Capital,NC,Venture Fund,,1,,
Syngenta Ventures,NC,Corporate Fund,1,,,
TEEC Angel Fund,CA,Angel Group,,1,,
The Aurora Funds Inc.,NC,Venture Fund,1,,,
Triangle Capital Corporation,NC,Venture Fund,,,1,
Triathlon Medical Ventures,OH,Venture Fund,1,,,
True Ventures,CA,Venture Fund,,1,,
TVM Capital,DEU,Venture Fund,1,,,
Vintage Investment Partners,ISR,Venture Fund,,1,,
"Virgo Investment Group, LLC",CA,Venture Fund,1,,,
Wellington Management Company LLP,MA,Strategic,,1,,
"Wilmington Investor Network, LLC",NC,Angel Group,,1,,
