Company,Exit Type,Exit Size,Acquirer/Merger/Ticker,Sector,Logo
"Automated Insights, Inc.",Acquisition,,Vista Equity Partners and portfolio company STATS,Tech,automatedinsights.png
"Bioptigen, Inc.",Acquisition,,Leica Microsystems,Life Science,bioptigen.png
"BlueStripe Software, Inc.",Acquisition,,Microsoft,Tech,bluestripe.png
Bronto Software,Acquisition,200000000,"NetSuite, Inc.",Tech,bronto.png
Covance,Acquisition,6200000000,LabCorp,Life Science,covance.png
Implus Corporation,Acquisition,,Berkshire Partners,Advanced Manufacturing & Materials,implus.png
"KBI BioPharma, Inc.",Acquisition,,JSR Group that also includes CMIC Holdings and Innovation Network Corporation of Japan,Life Science,kbi.png
Salix Pharmaceuticals,Acquisition,11000000000,"Valeant Pharmaceuticals International, Inc.",Life Science,salix.png
Two Toasters,Acquisition,,Ticketmaster,Tech,twotoasters.png
MaxPoint Interactive,IPO,,MXPT,Tech,maxpoint.jpg
"DARA BioSciences, Inc.",Merger,,Midatech Pharma PLC,Life Science,dara.png
Regado Biosciences Inc.,Merger,22000000,Tobria Therapeutics,Life Science,regado.jpg
