State,Region,Tech,Life Science,Advanced M&M,Cleantech,Venture Fund,Corporate Fund,Angel Group,Growth,Strategic,Grant,Award
CA,West Coast,7,7,1,1,13,1,1,,,,
DC,Mid-Atlantic ,1,,,,1,,,,,,
FL,Southeast,1,,,,1,,,,,,
IL,Midwest,,1,,,,1,,,,,
IN,Midwest,,1,,,1,,,,,,
MA,Northeast,2,8,,,7,,,,1,,
MD,Mid-Atlantic ,,2,,,1,,,1,,,
NC,Southeast,11,20,5,,14,1,4,,,,
NJ,Northeast,,2,,,2,,,,,,
NY,Northeast,6,2,,,8,,,,,,
OH,Midwest,,1,,,1,,,,,,
PA,Mid-Atlantic ,,1,,,1,,,,,,
TN,Southeast,1,2,,,2,,,,,,
TX,Southeast,1,1,,,2,,,,,,
VA,Mid-Atlantic ,4,1,,,3,,,,,,
WA,Northwest,1,,,,,1,,,,,
CHN,International,1,,,,1,,,,,,
DEU,International,,1,,,1,,,,,,
FRA,International,,1,,,1,,,,,,
GBR,International,1,,,,1,,,,,,
ISR,International,2,,,,2,,,,,,
OR,Northwest,,,,,,,,,,,
SC,Southeast,,,,,,,,,,,
GA,Southeast,,,,,,,,,,,
AL,Southeast,,,,,,,,,,,
MS,Southeast,,,,,,,,,,,
LA,Southeast,,,,,,,,,,,
AR,Southeast,,,,,,,,,,,
OK,Southeast,,,,,,,,,,,
ME,Northeast,,,,,,,,,,,
NH,Northeast,,,,,,,,,,,
VT,Northeast,,,,,,,,,,,
RI,Northeast,,,,,,,,,,,
CT,Northeast,,,,,,,,,,,
DE,Mid-Atlantic ,,,,,,,,,,,
WV,Mid-Atlantic ,,,,,,,,,,,
KY,Midwest,,,,,,,,,,,
MI,Midwest,,,,,,,,,,,
WI,Midwest,,,,,,,,,,,
MN,Midwest,,,,,,,,,,,
IA,Midwest,,,,,,,,,,,
MO,Midwest,,,,,,,,,,,
